SONG,YT_LINK,ARTIST
Nightmare,https://www.youtube.com/watch?v=PrIk7dROF-c,Halsey
sad,https://www.youtube.com/watch?v=pgN-vvVVxMA,XXXTentacion
remedy of a broken heart,https://www.youtube.com/watch?v=ndCI8DIM86w,XXXTentacion
Gazon,https://www.youtube.com/watch?v=SE0f5TMUEpg,Ludaabeatz
without you,https://www.youtube.com/watch?v=nzalnIKug94,The kid LAROI
