SONG,YT_LINK,ARTIST
good feeling,https://www.youtube.com/watch?v=3OnnDqH6Wj8,FloRida
all I wanna do,https://www.youtube.com/watch?v=lT7Q93fy1us,Jay Park X 1 MILLION
all star,https://www.youtube.com/watch?v=L_jWHffIx5E,Smash mouth
life's a dance,https://www.youtube.com/watch?v=TOp_EW-Mirs,John Michael Montgomery
I gotta feeling,https://www.youtube.com/watch?v=uSD4vsh1zDA,Black Eyed Peas
