SONG,YT_LINK,ARTIST
You're so vain,https://www.youtube.com/watch?v=j13oJajXx0M,Carly Simon
No scrubs,https://www.youtube.com/watch?v=FrLequ6dUdM,TLC
really don't care,https://www.youtube.com/watch?v=OJGUbwVMBeA,Demi Lovato
jealous,https://www.youtube.com/watch?v=RhmUnk454MA,chromeo
throw yourself away,https://www.youtube.com/watch?v=gMLrn6dMVsw,Nickelback
