SONG,YT_LINK,ARTIST
You don't own me,https://www.youtube.com/watch?v=8SeRU_ZPDkE,Grace
Dreamin,https://www.youtube.com/watch?v=GEK77vOHjyE,The score
Female robbery,https://www.youtube.com/watch?v=jwK7-u_0VWk,The neighborhood
Bury a friend,https://www.youtube.com/watch?v=HUHC9tYz8ik,Billie Ellish
Without me,https://www.youtube.com/watch?v=ZAfAud_M_mg,Halsey
